family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,1,118,product M=5,1,0.7209814710683218,0.7167390037259981,0.004242467342323697,0.11321773901470145
mas,1,118,structural M=5,1,0.6839591079935338,0.6536523398633117,0.03030676813022204,1.0089896411799817
mas,1,118,nine-box,1,1.0909945801724952,1.0624012865396082,0.028593293632886985,1.142513839299731
mas,1,118,product M=5,3,0.6686497492138603,0.6782161315851472,-0.009566382371286819,-0.5899064861037188
mas,1,118,structural M=5,3,0.6022918667475149,0.6029216111030171,-0.0006297443555022264,-0.03651739865678401
mas,1,118,nine-box,3,1.011136885993465,1.0337234837217215,-0.02258659772825644,-2.106534078439755
mas,1,152,product M=5,1,0.7320670854258001,0.7224357741446563,0.009631311281143806,0.2886184906211319
mas,1,152,structural M=5,1,0.6811432507289146,0.6602786964826409,0.020864554246273648,0.6754310064204672
mas,1,152,nine-box,1,1.0786755985773713,1.0595122962051235,0.019163302372247726,0.8533315156748738
mas,1,152,product M=5,3,0.6677880658708581,0.6769653498584185,-0.009177283987560347,-0.5822073604510195
mas,1,152,structural M=5,3,0.612953913818783,0.6022077644219619,0.010746149396821059,0.6222921511861812
mas,1,152,nine-box,3,1.0040285378830651,1.030102304492689,-0.026073766609623794,-2.201962485649274
mas,1,200,product M=5,1,0.7216661995315359,0.7250078059406937,-0.0033416064091578157,-0.09502961027775175
mas,1,200,structural M=5,1,0.6816978089369244,0.6616717286965317,0.020026080240392763,0.5947932921106748
mas,1,200,nine-box,1,1.0759825471866187,1.0522117600867857,0.023770787099832935,1.0980162262790005
mas,1,200,product M=5,3,0.6714783551571507,0.6792124255320313,-0.007734070374880608,-0.49766816790752944
mas,1,200,structural M=5,3,0.6121399729612761,0.603991121619374,0.00814885134190213,0.44903270021768255
mas,1,200,nine-box,3,1.0020365766588957,1.0253828366732396,-0.023346260014343923,-2.2694709987291626
mas,2,3,product M=5,1,0.7442869046918273,0.7241250290123695,0.02016187567945782,0.7115804025487856
mas,2,3,structural M=5,1,0.6861231441445536,0.6244923564182898,0.061630787726263736,1.9304652394820963
mas,2,3,nine-box,1,0.9374197289383716,0.9600870266811086,-0.022667297742737014,-1.3088365636326413
mas,2,3,product M=5,3,0.7479101477571207,0.7362641667771974,0.01164598097992331,0.7669202856163936
mas,2,3,structural M=5,3,0.6669137834768273,0.6342172647322355,0.032696518744591785,2.0700732048696557
mas,2,3,nine-box,3,0.9840934119767466,0.9879222643446987,-0.0038288523679520514,-0.3225590998159603
mas,2,4,product M=5,1,0.762945098822546,0.7827239438276028,-0.019778845005056778,-0.7674671365295522
mas,2,4,structural M=5,1,0.7010713509980266,0.679792416683023,0.021278934315003606,0.5876503971350152
mas,2,4,nine-box,1,0.9628435701659386,0.97795905405154,-0.015115483885601466,-0.7730892052990993
mas,2,4,product M=5,3,0.7917383521577706,0.773432902831362,0.01830544932640854,1.2699107465093549
mas,2,4,structural M=5,3,0.6995476822872578,0.6757685000194018,0.023779182267856025,1.324847702370309
mas,2,4,nine-box,3,0.9755642896256447,0.9949896556276675,-0.019425366002022826,-1.6135719636789505
mas,2,5,product M=5,1,0.7662322192270831,0.7708194551579911,-0.00458723593090804,-0.15293434696175523
