si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.012230614134607437,-7.801533202715111,-0.9968463436481133,0.6071428571428571,28,-0.029583023021844124,-15.750847512149637,-0.9494818518934067,0.8928571428571429,28,2.0189425722969405,True,dts_10_250,trend-duration,20
-0.014141731386901057,-5.047799455048214,-0.7740532582307013,0.8571428571428571,28,-0.009849803424631931,-2.8620740803492355,-0.9240768905150527,0.6428571428571429,28,0.5669944112947923,True,ats_10_250,trend-duration,5
-0.02259556616460845,-10.634169197599682,-0.8871390307615699,0.8928571428571429,28,-0.01618717288702648,-6.178997231994627,-0.6766569223898775,0.7142857142857143,28,0.581051243137013,True,ats_10_250,trend-duration,10
-0.016709963141110062,-9.385521869122455,-0.792508840373371,0.7142857142857143,28,-0.019815134478442353,-9.127238332155926,-0.9400778400775299,0.7857142857142857,28,0.9724806419325217,True,ats_10_250,trend-duration,15
-0.014140225128975503,-9.005637677011103,-0.978588757194317,0.6428571428571429,28,-0.026285104806338222,-14.021098367673858,-0.973944244556546,0.8928571428571429,28,1.5569245477714293,True,ats_10_250,trend-duration,20
-0.013249869125993075,-4.590876103371361,-0.7713027019619483,0.7857142857142857,28,-0.021949068467631783,-6.407163757528399,-0.8544956900546058,0.8214285714285714,28,1.3956298565372363,True,ats_10_500,trend-duration,5
-0.02657093679146455,-12.122573096226068,-0.9290973694922239,0.9642857142857143,28,-0.025686162327088702,-9.794079395823651,-0.96772762770599,0.8214285714285714,28,0.8079208364495397,True,ats_10_500,trend-duration,10
-0.01977533287228944,-10.801790392789256,-0.967896221725337,0.8214285714285714,28,-0.03242951236282482,-14.911615469035999,-0.9164610145653792,0.8928571428571429,28,1.380476284652798,True,ats_10_500,trend-duration,15
-0.01481786840465213,-9.280558367115756,-0.9449047780041218,0.5714285714285714,28,-0.03707453739889954,-19.763537515437502,-0.958013334100635,0.9285714285714286,28,2.129563409187381,True,ats_10_500,trend-duration,20
-0.002470245076499289,-0.9027652376200938,-0.45382085403159256,0.6071428571428571,28,-0.019823271059949188,-5.743152810143119,-0.6768673940389729,0.75,28,6.361734558237368,True,dts_20_120,trend-duration,5
