block,pair_a,pair_b,observed,expected,kappa,shared_leg
oos,CADJPY,USDJPY,0.37304758445332364,0.2685691493439314,0.14284116538928956,JPY
oos,CHFJPY,EURAUD,0.23138394478750454,0.25815261599504635,-0.036083798075862816,none
oos,CHFJPY,EURCAD,0.2586269524155467,0.24400366855350086,0.019343061935321947,none
oos,CHFJPY,EURCHF,0.2473665092626226,0.2700842550787313,-0.031123791991305938,CHF
oos,CHFJPY,EURGBP,0.3047584453323647,0.23992688226125608,0.0852964820858101,none
oos,CHFJPY,EURJPY,0.4017435524881947,0.26855674666701146,0.182087681052887,JPY
oos,CHFJPY,EURNZD,0.25354159099164547,0.2525158632216956,0.0013722401847493355,none
oos,CHFJPY,EURUSD,0.2731565564838358,0.24746876537552603,0.03413518260292334,none
oos,CHFJPY,GBPAUD,0.2568107519070105,0.25500589852842237,0.0024226411659140005,none
oos,CHFJPY,GBPCAD,0.2717035960770069,0.2583503991089072,0.018004724808124737,none
oos,CHFJPY,GBPCHF,0.2895023610606611,0.26166811518498,0.03769882683944307,CHF
oos,CHFJPY,GBPJPY,0.3443516164184526,0.2672956319223265,0.10516654172308333,JPY
oos,CHFJPY,GBPNZD,0.27569923719578643,0.24822189813998113,0.0365497997185898,none
oos,CHFJPY,GBPUSD,0.26734471485652017,0.2570541874274064,0.013850979782066274,none
oos,CHFJPY,NZDCAD,0.23392662549945514,0.25955438237373785,-0.03461126146771017,none
oos,CHFJPY,NZDCHF,0.2826007991282238,0.2589817481414787,0.03187377763976394,CHF
oos,CHFJPY,NZDJPY,0.26988739556847074,0.24702240094978117,0.030366102056064784,JPY
oos,CHFJPY,NZDUSD,0.19324373410824555,0.2406950565700608,-0.06249310355792983,none
oos,CHFJPY,USDCAD,0.2335633853977479,0.25565400436917285,-0.029677890525498598,none
oos,CHFJPY,USDCHF,0.22121322193970214,0.23742404844749493,-0.021257982860316625,CHF
oos,CHFJPY,USDJPY,0.33999273519796586,0.27232597296031713,0.09299048711815379,JPY
oos,EURAUD,EURCAD,0.3396294950962586,0.2687406757268661,0.09694073910080456,EUR
oos,EURAUD,EURCHF,0.30948056665455864,0.26932109461804304,0.05496186045705334,EUR
oos,EURAUD,EURGBP,0.19941881583726845,0.2718102063211694,-0.0994128057167323,EUR
oos,EURAUD,EURJPY,0.2731565564838358,0.2607133729488908,0.016831338589984757,EUR
oos,EURAUD,EURNZD,0.3410824555030875,0.2641766225637151,0.10451670237404453,EUR
oos,EURAUD,EURUSD,0.34217217580820924,0.2699519158771285,0.09892534683910713,EUR
oos,EURAUD,GBPAUD,0.3828550671994188,0.26720617431645743,0.1578191420691697,AUD
oos,EURAUD,GBPCAD,0.2564475118053033,0.27350356755085,-0.023477136271746944,none
oos,EURAUD,GBPCHF,0.28296403922993096,0.27357112255705196,0.012930263325905158,none
oos,EURAUD,GBPJPY,0.28441699963675987,0.278574019373773,0.008099209648528194,none
oos,EURAUD,GBPNZD,0.24409734834725755,0.24949172114718426,-0.00718762597552188,none
oos,EURAUD,GBPUSD,0.3000363240101707,0.25860267483519284,0.05588588974982812,none
oos,EURAUD,NZDCAD,0.24845622956774427,0.2641028662190532,-0.021261988847433737,none
oos,EURAUD,NZDCHF,0.3152924082818743,0.2687108565249098,0.06369785764302303,none
oos,EURAUD,NZDJPY,0.3058481656374864,0.2583229548876377,0.06407803917222323,none
oos,EURAUD,NZDUSD,0.31311296767163094,0.27186153229267834,0.05665328396786994,none
oos,EURAUD,USDCAD,0.30439520523065744,0.2789778980338986,0.03525177262590186,none
oos,EURAUD,USDCHF,0.316382128586996,0.26595033730663203,0.06870351400383472,none
oos,EURAUD,USDJPY,0.2335633853977479,0.26116870952389687,-0.03736350163020313,none
oos,EURCAD,EURCHF,0.3098438067562659,0.26885098038543037,0.05606630833266407,EUR
