N,B,D,R,A_bars,A_t,A_ratio,A_share,B_bars,B_t,B_ratio,B_share,agree
5,3,0.5,0.5,-0.8390310790175448,-3.4126686400543194,-0.131025066157046,0.12728551336146274,-0.2447699553046725,-1.088639348131833,-0.055555917146962175,0.1224871435250117,True
5,3,0.5,0.62,-0.8430408068283217,-3.4318988816382694,-0.1392620311707189,0.12742616033755275,-0.25427246005681425,-1.1334768150195134,-0.05563180291754777,0.12307152875175316,True
5,3,0.5,0.75,-0.8430408068283217,-3.4318988816382694,-0.1392620311707189,0.12742616033755275,-0.25427246005681425,-1.1334768150195134,-0.05563180291754777,0.12307152875175316,True
5,3,0.5,1.0,-0.8407245418290863,-3.425564460966068,-0.1397950557074149,0.12756680731364275,-0.24620885410949178,-1.0978849353506415,-0.05121546015485545,0.12318840579710146,True
5,3,1.0,0.5,-0.7174404143573341,-2.7650813365469227,-0.16623495864011217,0.11026722925457103,-0.2298496166110624,-0.9614997409892994,-0.08423278319021466,0.10612435717625059,True
5,3,1.0,0.62,-0.7220744694242338,-2.7857143076885325,-0.17566057851798667,0.11040787623066103,-0.23995600264397154,-1.0055043492793012,-0.08557796691743536,0.10659186535764376,True
5,3,1.0,0.75,-0.7220744694242338,-2.7857143076885325,-0.17566057851798667,0.11040787623066103,-0.23995600264397154,-1.0055043492793012,-0.08557796691743536,0.10659186535764376,True
5,3,1.0,1.0,-0.7220744694242338,-2.7857143076885325,-0.17566057851798667,0.11040787623066103,-0.2308223533220346,-0.96760046174786,-0.0804695168143027,0.10670874240299205,True
8,1,0.25,0.5,-0.763158887317303,-3.2946350998195806,-0.04220042170237337,0.14767932489451477,0.13489870329815545,0.6575080433305487,0.09888544740329674,0.14714820009350163,False
8,1,0.25,0.62,-0.7365828853152951,-3.1915345868584617,-0.04713888286641499,0.1488045007032349,0.14186594543764564,0.6923878044568118,0.09984430820389822,0.14749883122954652,False
8,1,0.25,0.75,-0.7384295588458425,-3.2125632192223676,-0.05261613368677576,0.14964838255977497,0.15344447076719803,0.749944751612161,0.10268838856850726,0.1478494623655914,False
8,1,0.25,1.0,-0.7132116383815159,-3.107760010744823,-0.04889232918390818,0.150210970464135,0.1444187892928035,0.707676022418,0.10496734967148569,0.14878447872837774,False
8,1,0.5,0.5,-0.7182963431613256,-3.0293683494362424,-0.03344740210153696,0.13966244725738397,0.1675900009258786,0.8016040562137151,0.0963481624085234,0.1406030855539972,False
8,1,0.5,0.62,-0.6972896890343705,-2.9507477677839793,-0.03891871880915998,0.14064697609001406,0.16592859187024622,0.7947403204225442,0.09513224355642769,0.1408368396446938,False
8,1,0.5,0.75,-0.7059493686359364,-2.9988290091474883,-0.04341951553969847,0.14135021097046413,0.1779039753124696,0.8533638733627726,0.09808672975794741,0.14118747078073865,False
8,1,0.5,1.0,-0.6795659260070295,-2.8916879350389397,-0.03954592967845605,0.1419127988748242,0.15961091182450637,0.7676957782923652,0.09931374429269701,0.14200561009817672,False
8,1,1.0,0.5,-0.8851276481794272,-3.6101417747989855,-0.04815511944799389,0.12770745428973276,0.18185555344857995,0.8316804761640075,0.07971460767848593,0.12564282374941563,False
8,1,1.0,0.62,-0.8612445255957333,-3.525675662404156,-0.05399737730261678,0.12869198312236288,0.18185555344857995,0.8316804761640075,0.07971460767848593,0.12564282374941563,False
8,1,1.0,0.75,-0.869710964388565,-3.5755433511218233,-0.05867031186995997,0.12939521800281295,0.19274171952590713,0.8823109462494434,0.08218297282456177,0.1258765778401122,False
8,1,1.0,1.0,-0.8515989823137708,-3.5069386488664644,-0.05684870680997489,0.12981715893108298,0.1755075427587336,0.8053484884114352,0.08011018480323817,0.12657784011220197,False
8,2,0.25,0.5,-0.8356182011272839,-3.5145885809017487,-0.049163566524418,0.1390998593530239,0.24952683793523356,1.188651524240586,0.10859843418431958,0.1387330528284245,False
8,2,0.25,0.62,-0.8070880398433964,-3.4078931420973335,-0.054316515735463256,0.14022503516174403,0.24772988629424475,1.1817251261434774,0.10737138885932818,0.13896680691912108,False
8,2,0.25,0.75,-0.8085865214247541,-3.429199507300776,-0.05998234985461948,0.1410689170182841,0.2596651950902089,1.2405430850294412,0.11029860489851284,0.13931743805516597,False
8,2,0.25,1.0,-0.7818168120550855,-3.321242430710879,-0.05604304595486498,0.14163150492264417,0.24957177814029485,1.1956425898935592,0.11259438758551088,0.1402524544179523,False
