si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,source,group,scorable,was_independent
-0.009627049561729384,-6.099877330701583,-0.7156902021958559,0.7142857142857143,28,-0.01113290657947405,-5.905899889042575,-0.45795516304438033,0.6428571428571429,28,0.9681997799066072,True,ts_dd0.02_ol,^FVX,us-yields,True,True
-0.005648762963209791,-3.2204990963803892,-0.16643727781268267,0.6428571428571429,28,0.018003283058793063,9.723741657155497,0.8104774403453795,0.6785714285714286,28,3.019327553323734,False,ra_oc750_fl_8_pl,^FVX,us-yields,True,True
0.004037166409418369,2.3151236112200926,0.06838474680249838,0.5357142857142857,28,0.02019988085801691,10.723956553343267,0.876594094871566,0.8214285714285714,28,4.632131304510189,True,ra_ep750_fl_8_pl,^FVX,us-yields,True,False
-0.018191086890108787,-11.427809117934244,-0.8629901451333066,0.75,28,-0.013139537332176515,-7.249045482907956,-0.5992947346670942,0.6785714285714286,28,0.634333791201645,True,ts_dd0.02_ol,^IRX,us-yields,True,True
0.013811926199039537,7.6368409727436175,0.19906908719963376,0.7142857142857143,28,0.017304204567983483,9.408412207738499,0.867306124788368,0.7142857142857143,28,1.2319769707550194,True,ra_oc750_fl_8_pl,^IRX,us-yields,True,True
0.0036482825222551585,2.0736077033228058,0.07705245091890095,0.5357142857142857,28,0.025239333054128732,13.611818923888947,0.9633482358385586,0.7857142857142857,28,6.564317301713817,True,ra_ep750_fl_8_pl,^IRX,us-yields,True,False
-0.025058604238054977,-14.836068553638228,-0.7045595677934232,0.8571428571428571,28,-0.03470212748427268,-18.814588165486388,-0.9539872071189518,0.8214285714285714,28,1.2681653564395612,True,ts_dd0.02_ol,DX-Y.NYB,dollar,True,True
0.0022891079669150327,1.2896141469673605,0.03877435486146239,0.5,28,0.006001392848804521,3.210327973091319,0.5186657521971364,0.5714285714285714,28,2.4893709336553758,True,ra_oc750_fl_8_pl,DX-Y.NYB,dollar,True,True
0.004015786640891222,2.2363115245174483,0.27998270124686087,0.5357142857142857,28,0.012644023934165999,6.772440022983201,0.7234821819936256,0.6428571428571429,28,3.0283974073981303,True,ra_ep750_fl_8_pl,DX-Y.NYB,dollar,True,False
0.021604646705028208,9.534909876794757,0.4064917729956025,0.8214285714285714,28,-0.03058992256886589,-16.434408778392218,-0.9196411413393878,0.8928571428571429,28,1.7236039973895156,False,ts_dd0.02_ol,HYG_LQD,credit,True,True
0.0019214710278599167,1.1030325951757542,0.303015718503363,0.5714285714285714,28,0.01816913990677793,9.81883777911082,0.7845269132122457,0.7142857142857143,28,8.90167509288002,True,ra_oc750_fl_8_pl,HYG_LQD,credit,True,True
0.004643154602285676,2.6661197653793156,0.27538327982375477,0.5,28,0.02030330012676612,10.914282546169925,0.9436420510752627,0.7142857142857143,28,4.093695522570466,True,ra_ep750_fl_8_pl,HYG_LQD,credit,True,False
