date,pair,state,age,chg60,typical,rel_age,oos
1999-04-09,AUDCAD,drifting (straight+small),3.0,2.0,2.0,1.5,False
1999-04-09,AUDCHF,dead (choppy+small),5.0,2.0,2.0,2.5,False
1999-04-09,AUDJPY,volatile chop (choppy+large),1.0,2.0,3.0,0.3333333333333333,False
1999-04-09,AUDNZD,drifting (straight+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-09,AUDUSD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-09,CADCHF,dead (choppy+small),1.0,4.0,2.0,0.5,False
1999-04-09,CADJPY,dead (choppy+small),7.0,1.0,2.0,3.5,False
1999-04-09,CHFJPY,dead (choppy+small),4.0,2.0,3.0,1.3333333333333333,False
1999-04-09,EURAUD,dead (choppy+small),5.0,2.0,3.0,1.6666666666666667,False
1999-04-09,EURCAD,drifting (straight+small),2.0,3.0,2.0,1.0,False
1999-04-09,EURCHF,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-09,EURGBP,volatile chop (choppy+large),3.0,3.0,3.0,1.0,False
1999-04-09,EURJPY,dead (choppy+small),5.0,2.0,2.0,2.5,False
1999-04-09,EURNZD,dead (choppy+small),7.0,1.0,3.0,2.3333333333333335,False
1999-04-09,EURUSD,dead (choppy+small),1.0,5.0,3.0,0.3333333333333333,False
1999-04-09,GBPAUD,dead (choppy+small),5.0,2.0,3.0,1.6666666666666667,False
1999-04-09,GBPCAD,drifting (straight+small),6.0,2.0,2.0,3.0,False
1999-04-09,GBPCHF,dead (choppy+small),3.0,3.0,2.0,1.5,False
1999-04-09,GBPJPY,dead (choppy+small),5.0,2.0,3.0,1.6666666666666667,False
1999-04-09,GBPNZD,dead (choppy+small),7.0,1.0,2.0,3.5,False
1999-04-09,GBPUSD,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-09,NZDCAD,drifting (straight+small),3.0,2.0,2.0,1.5,False
1999-04-09,NZDCHF,dead (choppy+small),3.0,4.0,3.0,1.0,False
1999-04-09,NZDJPY,dead (choppy+small),7.0,1.0,3.0,2.3333333333333335,False
1999-04-09,NZDUSD,dead (choppy+small),7.0,1.0,3.0,2.3333333333333335,False
1999-04-09,USDCAD,drifting (straight+small),2.0,3.0,2.5,0.8,False
1999-04-09,USDCHF,dead (choppy+small),3.0,3.0,2.0,1.5,False
1999-04-09,USDJPY,dead (choppy+small),7.0,1.0,3.0,2.3333333333333335,False
1999-04-12,AUDCAD,drifting (straight+small),4.0,2.0,2.0,2.0,False
1999-04-12,AUDCHF,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-12,AUDJPY,volatile chop (choppy+large),2.0,2.0,3.0,0.6666666666666666,False
1999-04-12,AUDNZD,drifting (straight+small),2.0,2.0,3.0,0.6666666666666666,False
1999-04-12,AUDUSD,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-12,CADCHF,drifting (straight+small),1.0,5.0,2.0,0.5,False
1999-04-12,CADJPY,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-12,CHFJPY,dead (choppy+small),5.0,2.0,3.0,1.6666666666666667,False
1999-04-12,EURAUD,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-12,EURCAD,trending (straight+large),1.0,4.0,2.0,0.5,False
1999-04-12,EURCHF,dead (choppy+small),1.0,3.0,3.0,0.3333333333333333,False
1999-04-12,EURGBP,volatile chop (choppy+large),4.0,3.0,3.0,1.3333333333333333,False
1999-04-12,EURJPY,dead (choppy+small),6.0,2.0,2.0,3.0,False
1999-04-12,EURNZD,volatile chop (choppy+large),1.0,2.0,3.0,0.3333333333333333,False
1999-04-12,EURUSD,volatile chop (choppy+large),1.0,6.0,3.0,0.3333333333333333,False
1999-04-12,GBPAUD,dead (choppy+small),6.0,2.0,3.0,2.0,False
1999-04-12,GBPCAD,drifting (straight+small),7.0,2.0,2.0,3.5,False
1999-04-12,GBPCHF,volatile chop (choppy+large),1.0,4.0,3.0,0.3333333333333333,False
1999-04-12,GBPJPY,dead (choppy+small),6.0,2.0,3.0,2.0,False
1999-04-12,GBPNZD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-12,GBPUSD,trending (straight+large),1.0,4.0,2.0,0.5,False
1999-04-12,NZDCAD,dead (choppy+small),1.0,3.0,2.0,0.5,False
1999-04-12,NZDCHF,dead (choppy+small),4.0,4.0,3.0,1.3333333333333333,False
1999-04-12,NZDJPY,dead (choppy+small),8.0,1.0,3.0,2.6666666666666665,False
1999-04-12,NZDUSD,dead (choppy+small),8.0,1.0,3.0,2.6666666666666665,False
1999-04-12,USDCAD,drifting (straight+small),3.0,3.0,2.5,1.2,False
1999-04-12,USDCHF,volatile chop (choppy+large),1.0,4.0,2.0,0.5,False
1999-04-12,USDJPY,dead (choppy+small),8.0,1.0,3.0,2.6666666666666665,False
1999-04-13,AUDCAD,drifting (straight+small),5.0,2.0,2.0,2.5,False
1999-04-13,AUDCHF,volatile chop (choppy+large),2.0,3.0,3.0,0.6666666666666666,False
1999-04-13,AUDJPY,dead (choppy+small),1.0,3.0,3.0,0.3333333333333333,False
1999-04-13,AUDNZD,drifting (straight+small),3.0,2.0,3.0,1.0,False
1999-04-13,AUDUSD,volatile chop (choppy+large),2.0,3.0,3.0,0.6666666666666666,False
1999-04-13,CADCHF,drifting (straight+small),2.0,5.0,2.0,1.0,False
1999-04-13,CADJPY,drifting (straight+small),2.0,2.0,2.0,1.0,False
1999-04-13,CHFJPY,dead (choppy+small),6.0,2.0,3.0,2.0,False
1999-04-13,EURAUD,volatile chop (choppy+large),2.0,3.0,3.0,0.6666666666666666,False
1999-04-13,EURCAD,drifting (straight+small),1.0,5.0,2.0,0.5,False
1999-04-13,EURCHF,dead (choppy+small),2.0,3.0,3.0,0.6666666666666666,False
1999-04-13,EURGBP,volatile chop (choppy+large),5.0,3.0,3.0,1.6666666666666667,False
1999-04-13,EURJPY,dead (choppy+small),7.0,2.0,2.0,3.5,False
1999-04-13,EURNZD,trending (straight+large),1.0,3.0,2.0,0.5,False
1999-04-13,EURUSD,volatile chop (choppy+large),2.0,6.0,3.0,0.6666666666666666,False
1999-04-13,GBPAUD,dead (choppy+small),7.0,2.0,3.0,2.3333333333333335,False
1999-04-13,GBPCAD,drifting (straight+small),8.0,2.0,2.0,4.0,False
1999-04-13,GBPCHF,dead (choppy+small),1.0,5.0,2.0,0.5,False
1999-04-13,GBPJPY,dead (choppy+small),7.0,2.0,3.0,2.3333333333333335,False
1999-04-13,GBPNZD,drifting (straight+small),2.0,2.0,2.0,1.0,False
1999-04-13,GBPUSD,volatile chop (choppy+large),1.0,5.0,3.0,0.3333333333333333,False
1999-04-13,NZDCAD,dead (choppy+small),2.0,3.0,2.0,1.0,False
1999-04-13,NZDCHF,trending (straight+large),1.0,5.0,2.0,0.5,False
1999-04-13,NZDJPY,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-13,NZDUSD,dead (choppy+small),9.0,1.0,3.0,3.0,False
1999-04-13,USDCAD,drifting (straight+small),4.0,3.0,2.5,1.6,False
1999-04-13,USDCHF,volatile chop (choppy+large),2.0,4.0,2.0,1.0,False
1999-04-13,USDJPY,dead (choppy+small),9.0,1.0,3.0,3.0,False
1999-04-14,AUDCAD,dead (choppy+small),1.0,3.0,3.0,0.3333333333333333,False
1999-04-14,AUDCHF,trending (straight+large),1.0,4.0,2.0,0.5,False
1999-04-14,AUDJPY,drifting (straight+small),1.0,4.0,2.0,0.5,False
1999-04-14,AUDNZD,dead (choppy+small),1.0,3.0,3.0,0.3333333333333333,False
1999-04-14,AUDUSD,dead (choppy+small),1.0,4.0,2.0,0.5,False
1999-04-14,CADCHF,trending (straight+large),1.0,6.0,2.0,0.5,False
1999-04-14,CADJPY,drifting (straight+small),3.0,2.0,2.0,1.5,False
1999-04-14,CHFJPY,dead (choppy+small),7.0,2.0,3.0,2.3333333333333335,False
1999-04-14,EURAUD,trending (straight+large),1.0,4.0,3.0,0.3333333333333333,False
1999-04-14,EURCAD,trending (straight+large),1.0,6.0,2.0,0.5,False
1999-04-14,EURCHF,dead (choppy+small),3.0,3.0,3.0,1.0,False
1999-04-14,EURGBP,volatile chop (choppy+large),6.0,3.0,3.0,2.0,False
1999-04-14,EURJPY,dead (choppy+small),8.0,2.0,2.0,4.0,False
1999-04-14,EURNZD,trending (straight+large),2.0,3.0,2.0,1.0,False
1999-04-14,EURUSD,volatile chop (choppy+large),3.0,6.0,3.0,1.0,False
1999-04-14,GBPAUD,drifting (straight+small),1.0,3.0,2.0,0.5,False
1999-04-14,GBPCAD,drifting (straight+small),9.0,2.0,2.0,4.5,False
1999-04-14,GBPCHF,volatile chop (choppy+large),1.0,6.0,3.0,0.3333333333333333,False
1999-04-14,GBPJPY,dead (choppy+small),8.0,2.0,3.0,2.6666666666666665,False
1999-04-14,GBPNZD,drifting (straight+small),3.0,2.0,2.0,1.5,False
1999-04-14,GBPUSD,volatile chop (choppy+large),2.0,5.0,3.0,0.6666666666666666,False
1999-04-14,NZDCAD,dead (choppy+small),3.0,3.0,2.0,1.5,False
1999-04-14,NZDCHF,trending (straight+large),2.0,5.0,2.0,1.0,False
1999-04-14,NZDJPY,drifting (straight+small),2.0,2.0,2.0,1.0,False
