pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
CHFJPY,2020-09-21,1,1.0,-1,0.13745934318128275,0.13745934318128275,CHF,JPY
EURUSD,2020-09-21,2,2.0,-1,0.14667097859119654,0.2933419571823931,EUR,USD
GBPCHF,2020-09-21,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
USDCAD,2020-09-21,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
AUDCAD,2020-09-22,1,0.9733502390491228,1,0.0,0.0,AUD,CAD
CADCHF,2020-09-22,1,0.9733502390491228,-1,-0.013303032253700397,-0.012948509624217472,CAD,CHF
CHFJPY,2020-09-22,1,0.9733502390491228,-1,0.13745934318128275,0.13379608454503697,CHF,JPY
EURUSD,2020-09-22,4,3.893400956196491,-1,0.07065625951219853,0.2750931483460612,EUR,USD
GBPCHF,2020-09-22,1,0.9733502390491228,-1,0.00013099330442506427,0.0001275023641759708,GBP,CHF
USDCAD,2020-09-22,2,1.9467004780982455,1,-0.025707407344624848,-0.05004462216844754,USD,CAD
CADCHF,2020-09-23,2,1.9467004780982455,-1,-0.2566515161268527,-0.4996236291487838,CAD,CHF
CHFJPY,2020-09-23,1,0.9733502390491228,-1,0.13745934318128275,0.13379608454503697,CHF,JPY
EURUSD,2020-09-23,4,3.893400956196491,-1,0.07065625951219853,0.2750931483460612,EUR,USD
GBPCHF,2020-09-23,1,0.9733502390491228,-1,0.00013099330442506427,0.0001275023641759708,GBP,CHF
USDCAD,2020-09-23,2,1.9467004780982455,1,-0.025707407344624848,-0.05004462216844754,USD,CAD
CADCHF,2020-09-24,2,1.9467004780982455,-1,-0.2566515161268527,-0.4996236291487838,CAD,CHF
CHFJPY,2020-09-24,1,0.9733502390491228,-1,0.13745934318128275,0.13379608454503697,CHF,JPY
EURUSD,2020-09-24,4,3.893400956196491,-1,0.07065625951219853,0.2750931483460612,EUR,USD
GBPCHF,2020-09-24,1,0.9733502390491228,-1,0.00013099330442506427,0.0001275023641759708,GBP,CHF
USDCAD,2020-09-24,2,1.9467004780982455,1,-0.025707407344624848,-0.05004462216844754,USD,CAD
CADCHF,2020-09-25,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-25,1,1.0,-1,0.13745934318128275,0.13745934318128275,CHF,JPY
EURUSD,2020-09-25,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPCHF,2020-09-25,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
