signal,shift,si,so,to,ao,mo
eff_trail_5,1592,-0.00024315524418441758,0.0036700600033812147,1.9187978614709689,0.6428571428571429,0.7549576831166924
eff_trail_10,1592,0.001909112771388638,0.0003223984310069816,0.16751540621514655,0.5,0.12430394889823311
eff_trail_15,1592,0.003827842061863068,-0.003913562597424508,-2.060749637301598,0.6428571428571429,-0.7551425508469829
eff_trail_20,1592,0.0025165711359569076,-0.006520354227328273,-3.4319148038356584,0.6071428571428571,-0.8289010448278704
persist_ratio,1592,0.0043358562796183,-0.003976928328924795,-2.075104887292228,0.6428571428571429,-0.8337107056433019
persist_log,1592,0.004134716419961243,-0.004187814109318788,-2.186301888473425,0.6428571428571429,-0.8521235106277876
persist_diff,1592,0.0049482550890733445,-0.005617584342169024,-2.930121562245813,0.6428571428571429,-0.6213931142368632
ts_slope,1592,0.00364385194554398,-0.005987838639790216,-3.114321473231943,0.7142857142857143,-0.6723985412023912
ts_curve,1592,-0.0030443097123408758,0.0013617019881102255,0.714377367035193,0.6071428571428571,0.17141675697918193
ts_disp,1592,0.0003583825211208036,0.009848810351863857,5.1675736444717595,0.6428571428571429,0.9207777299423036
xh_agree,1592,0.006003389318163571,0.003766240064379593,1.2271134517535414,0.5714285714285714,
xh_ends,1592,-0.001961066637456465,0.000623104574620084,0.48064931878424416,0.4642857142857143,
mtf_agree,1592,0.00304408640602098,0.003933316154418287,1.3668280112324669,0.6428571428571429,
conf_2of4,1592,0.0049791452046330275,5.103990765051402e-05,0.02282930620634,0.5,
conf_3of4,1592,0.002598618986937366,-0.0013847480198969186,-0.6326976965906321,0.5714285714285714,
conf_4of4,1592,0.00022668085578057235,-0.0015800470407068615,-0.6553707450156459,0.5714285714285714,
conf_3of4_and_persist,1592,0.006463981603678461,-0.0008340148121103215,-0.1923608798273666,0.5,
conf_3of4_and_mtf,1592,0.001253522801810698,0.00037639925502307853,0.14545624206015106,0.42857142857142855,
conf_all_three,1592,0.0032115178850514975,0.00046937746881065397,0.08773657020531081,0.5714285714285714,
eff_trail_5,4221,0.001319653115637226,-0.0032735248313633947,-1.732813581342395,0.6428571428571429,-0.5268184559895651
eff_trail_10,4221,0.0017891058134927862,0.002019364509096816,1.0693326886061834,0.5357142857142857,0.4806763931295145
eff_trail_15,4221,0.0008168718835787347,-0.001027431819413921,-0.5436588063738493,0.5,0.06370665305091991
eff_trail_20,4221,0.00018613367136893766,-0.004136475416402108,-2.1867819258487065,0.5357142857142857,-0.8055019762924898
persist_ratio,4221,0.0011095456704917628,-0.0021417484846302237,-1.126165272550655,0.42857142857142855,-0.6324893774062316
persist_log,4221,0.001101669667453814,-0.0019776800041028664,-1.040706665938244,0.39285714285714285,-0.6442965553949977
persist_diff,4221,0.0002846503118733579,-0.0005700880219662308,-0.3011821096046906,0.39285714285714285,-0.5235425790470554
ts_slope,4221,-0.0007228644878314039,-0.001467965020075096,-0.7736004026393632,0.39285714285714285,-0.8230905260029149
ts_curve,4221,-0.0014913709300660993,-0.00729997856878653,-3.8725738779305465,0.75,-0.6009430213759551
ts_disp,4221,0.0001448489982561474,-0.0005803838406473194,-0.30634038532003965,0.5,-0.12551713038401183
