date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-16,GBPAUD,,,,weak,3.5725,,,,,,,is
1999-04-16,GBPNZD,,,,weak,3.40597,,,,,,,is
1999-04-16,GBPUSD,,,,strong,4.59755,,,,,,,is
1999-04-16,GBPCAD,,,,weak,3.3785,,,,,,,is
1999-04-16,GBPCHF,,,,medium,4.10487,,,,,,,is
1999-04-16,GBPJPY,,,,weak,3.28908,,,,,,,is
1999-04-16,AUDNZD,,,,weak,3.26319,,,,,,,is
1999-04-16,AUDUSD,,,,medium,3.96665,,,,,,,is
1999-04-16,AUDCAD,,,,weak,3.82141,,,,,,,is
1999-04-16,AUDCHF,,,,medium,4.40937,,,,,,,is
1999-04-16,AUDJPY,,,,medium,3.7723,,,,,,,is
1999-04-16,NZDUSD,,,,weak,3.52417,,,,,,,is
1999-04-16,NZDCAD,,,,weak,3.72911,,,,,,,is
1999-04-16,NZDCHF,,,,weak,3.89905,,,,,,,is
1999-04-16,NZDJPY,,,,medium,3.6604,,,,,,,is
1999-04-16,USDCAD,,,,weak,3.20108,,,,,,,is
1999-04-16,USDCHF,,,,medium,4.51841,,,,,,,is
1999-04-16,USDJPY,,,,weak,3.49824,,,,,,,is
1999-04-16,CADCHF,,,,medium,4.46155,,,,,,,is
1999-04-16,CADJPY,,,,weak,3.53554,,,,,,,is
1999-04-16,CHFJPY,,,,weak,3.91483,,,,,,,is
1999-04-19,EURGBP,,,,strong,4.39253,,,,,,,is
1999-04-19,EURAUD,,,,medium,4.29972,,,,,,,is
1999-04-19,EURNZD,,,,weak,3.99401,,,,,,,is
1999-04-19,EURUSD,,,,medium,4.31349,,,,,,,is
1999-04-19,EURCAD,,,,medium,4.32031,,,,,,,is
1999-04-19,EURCHF,,,,weak,3.61547,,,,,,,is
1999-04-19,EURJPY,,,,weak,3.66303,,,,,,,is
1999-04-19,GBPAUD,,,,weak,3.74607,,,,,,,is
1999-04-19,GBPNZD,,,,weak,3.62754,,,,,,,is
1999-04-19,GBPUSD,,,,strong,4.45186,,,,,,,is
1999-04-19,GBPCAD,,,,weak,3.26456,,,,,,,is
1999-04-19,GBPCHF,,,,medium,3.88954,,,,,,,is
1999-04-19,GBPJPY,,,,weak,3.43635,,,,,,,is
1999-04-19,AUDNZD,,,,weak,3.30794,,,,,,,is
1999-04-19,AUDUSD,,,,medium,3.97967,,,,,,,is
1999-04-19,AUDCAD,,,,weak,3.76975,,,,,,,is
1999-04-19,AUDCHF,,,,medium,4.39463,,,,,,,is
1999-04-19,AUDJPY,,,,medium,3.78545,,,,,,,is
1999-04-19,NZDUSD,,,,weak,3.64425,,,,,,,is
