family,fast,slow,state,lead,lift,surr,surr_sd,excess,p
mas,2,27,nine-box,1,1.0582672419820371,1.1141891540229127,0.02644758579418798,-0.0559219120408756,1.0
mas,2,27,product M=5,3,1.0364537279592905,1.0398459871404646,0.02347385525970819,-0.00339225918117414,0.47619047619047616
mas,2,27,structural M=5,3,1.0306627692776227,1.0175590980213838,0.028676314807126565,0.013103671256238902,0.3333333333333333
mas,2,27,nine-box,3,1.0099636650280595,1.0708718142695222,0.01098147460366309,-0.060908149241462706,1.0
mas,2,34,product M=5,1,1.0345728086266792,0.9915041774608498,0.05195942690980556,0.043068631165829374,0.19047619047619047
mas,2,34,structural M=5,1,1.1361179406043007,0.965585763106804,0.06336675595736055,0.17053217749749672,0.047619047619047616
mas,2,34,nine-box,1,1.0913814408430182,1.1491883116061006,0.027598250668679866,-0.05780687076308233,1.0
mas,2,34,product M=5,3,1.0463513789800707,1.029875884631981,0.02808558772647277,0.016475494348089592,0.38095238095238093
mas,2,34,structural M=5,3,1.0361235025347528,0.9830857921895868,0.032038730935543956,0.05303771034516602,0.047619047619047616
mas,2,34,nine-box,3,1.0264156265630082,1.0922359106207578,0.012820988417116859,-0.06582028405774953,1.0
mas,2,44,product M=5,1,0.9861849658916902,0.9720916536924552,0.054726326548783163,0.014093312199235042,0.38095238095238093
mas,2,44,structural M=5,1,1.0559931625453933,0.9474901456057336,0.05185502477046923,0.10850301693965969,0.09523809523809523
mas,2,44,nine-box,1,1.0804274116424546,1.1404103762538553,0.0336542609163904,-0.059982964611400735,1.0
mas,2,44,product M=5,3,1.0094982149696046,1.0204003783439364,0.02911463704920845,-0.010902163374331808,0.5714285714285714
mas,2,44,structural M=5,3,0.9747580394419402,0.9655516005234361,0.03615412508177506,0.009206438918504034,0.47619047619047616
mas,2,44,nine-box,3,1.0370202254725884,1.0895809183389853,0.015135421185422425,-0.05256069286639686,1.0
mas,2,56,product M=5,1,0.9561262378340866,0.9671388990905865,0.058135404100214824,-0.011012661256499912,0.5714285714285714
mas,2,56,structural M=5,1,0.9934808578760649,0.947751744683669,0.05421671167836428,0.04572911319239592,0.2857142857142857
mas,2,56,nine-box,1,1.0863591220188027,1.1302755740214874,0.028707841222220788,-0.04391645200268468,0.9523809523809523
mas,2,56,product M=5,3,0.9973263921633109,1.020352843434805,0.0331431151861681,-0.023026451271494164,0.7619047619047619
mas,2,56,structural M=5,3,0.975297759316347,0.9684054229721866,0.03255538347092607,0.006892336344160421,0.5238095238095238
mas,2,56,nine-box,3,1.0352151358959751,1.078827116659685,0.012953234639336378,-0.04361198076370987,1.0
mas,2,72,product M=5,1,1.0199879971365053,0.9685330477475439,0.055783116141303435,0.051454949388961446,0.23809523809523808
mas,2,72,structural M=5,1,1.0514866206168065,0.9606379879085815,0.05494746549621612,0.09084863270822507,0.09523809523809523
mas,2,72,nine-box,1,1.0872264223766153,1.1178726606376566,0.024480395593967433,-0.030646238261041292,0.8571428571428571
mas,2,72,product M=5,3,1.0259517569160534,1.020228654599077,0.02233151820527645,0.0057231023169763695,0.47619047619047616
mas,2,72,structural M=5,3,1.0099142284730036,0.9906171959606255,0.029356757501773224,0.01929703251237813,0.2857142857142857
mas,2,72,nine-box,3,1.0361643031336603,1.070825746320866,0.01397659166989614,-0.034661443187205654,1.0
mas,2,92,product M=5,1,0.9892364733605566,0.9889936927935011,0.04857440263095504,0.00024278056705551165,0.5238095238095238
mas,2,92,structural M=5,1,1.0543104789106796,0.9862346058982787,0.05699567486207738,0.06807587301240092,0.14285714285714285
mas,2,92,nine-box,1,1.1086188835282988,1.1139021114099126,0.0220803853910684,-0.005283227881613728,0.7619047619047619
mas,2,92,product M=5,3,1.0284109921239823,1.0248019552701273,0.02823801473082259,0.003609036853855052,0.47619047619047616
mas,2,92,structural M=5,3,1.0249496662290605,0.9992083661672263,0.033988151181826326,0.02574130006183417,0.2857142857142857
mas,2,92,nine-box,3,1.0298178519177899,1.0665737874446248,0.014347055530246774,-0.03675593552683498,1.0
mas,2,118,product M=5,1,1.0089087895921587,0.9784978410047369,0.045089032803106194,0.03041094858742177,0.3333333333333333
mas,2,118,structural M=5,1,1.089677910129211,0.9653056789450172,0.05112032872796491,0.12437223118419372,0.047619047619047616
mas,2,118,nine-box,1,1.1140028460487832,1.1073312141681197,0.017293657492997952,0.006671631880663442,0.23809523809523808
mas,2,118,product M=5,3,0.9947022192732103,1.0183572724097703,0.024948486025538702,-0.02365505313655991,0.8095238095238095
mas,2,118,structural M=5,3,1.0392607164635783,0.9998642972696044,0.03223723745753386,0.039396419193973964,0.09523809523809523
mas,2,118,nine-box,3,1.055883968837561,1.0583772300313652,0.014191603528800155,-0.0024932611938042193,0.5238095238095238
mas,2,152,product M=5,1,0.9650750743804204,0.9871863861636824,0.04317638610702398,-0.022111311783261978,0.6190476190476191
mas,2,152,structural M=5,1,1.0835215377555996,0.996712582667912,0.05053013461803003,0.0868089550876876,0.047619047619047616
mas,2,152,nine-box,1,1.1053421449906033,1.093413643150026,0.022516343896679537,0.011928501840577255,0.38095238095238093
mas,2,152,product M=5,3,1.0045715863028426,1.024421101449068,0.024141226301493686,-0.01984951514622546,0.7619047619047619
mas,2,152,structural M=5,3,1.0497080040455076,1.0107713874775512,0.03205217502001378,0.03893661656795633,0.14285714285714285
mas,2,152,nine-box,3,1.0450116186432097,1.0520694684709906,0.012426020882583993,-0.007057849827780904,0.7142857142857143
