N,B,D,R,A_real,A_surr,A_corr,A_z,B_real,B_surr,B_corr,B_z,agree
8,2,1.0,0.62,0.822390744427351,0.5588030988363378,0.2635876455910132,5.306679350440107,0.48636491203486665,0.525484452857272,-0.03911954082240532,-0.9302425484974551,False
8,2,1.0,0.75,0.822287260795407,0.5588363180788015,0.2634509427166055,5.3021226095488085,0.4873174340195987,0.525296416757836,-0.0379789827382373,-0.9042336692690102,False
8,2,1.0,1.0,0.8222928686001347,0.5587681595237483,0.2635247090763865,5.308126976306624,0.4864088999317091,0.5251290965460187,-0.03872019661430959,-0.9239421937597817,False
8,3,0.25,0.5,0.6680883224762985,0.4194660147341029,0.24862230774219557,8.010031902017326,0.35976837297233516,0.392112798669349,-0.032344425697013846,-1.4098061674245053,False
8,3,0.25,0.62,0.6668151052356793,0.41894865951278504,0.2478664457228943,8.039931540642867,0.3597118099034164,0.3913794345453394,-0.03166762464192302,-1.3908883002933121,False
8,3,0.25,0.75,0.6668007270985876,0.4189422938881444,0.2478584332104432,7.997841761035717,0.3597024300651287,0.3911627890399299,-0.031460358974801206,-1.381461628968451,False
8,3,0.25,1.0,0.6667713248151529,0.4188827720971964,0.2478885527179565,8.0152967346126,0.35889333454622885,0.39099182323984416,-0.03209848869361531,-1.4098115582738713,False
8,3,0.5,0.5,0.6637322025697431,0.4405487417257926,0.22318346084395047,4.188188472649423,0.37260334772659365,0.4611240582674879,-0.08852071054089428,-1.3598756807747847,False
8,3,0.5,0.62,0.6623911497801602,0.4400269543468894,0.22236419543327085,4.178380755113811,0.3722953394664993,0.46062797025339675,-0.08833263078689746,-1.351814365422651,False
8,3,0.5,0.75,0.6620722997648212,0.440077861822698,0.2219944379421232,4.167485640853833,0.37228186182281237,0.4604082869413909,-0.08812642511857854,-1.3467884570843178,False
8,3,0.5,1.0,0.6620390827992857,0.44001809119855934,0.22202099160072636,4.169835794213195,0.37140017175508555,0.4602651644736867,-0.08886499271860115,-1.3579540576778952,False
8,3,1.0,0.5,0.7429293545804545,0.5118195637350473,0.23110979084540717,6.163705207103117,0.4522367878197118,0.47903625637725655,-0.026799468557544726,-0.8218741284199093,False
8,3,1.0,0.62,0.742583110339071,0.5117447389864059,0.23083837135266505,6.180227833619207,0.45471218286604004,0.47846129656031,-0.023749113694269963,-0.7292210187782936,False
8,3,1.0,0.75,0.7424440943738626,0.5116840917724075,0.23076000260145513,6.175686727639415,0.4546694691817591,0.478281204344979,-0.023611735163219905,-0.725127942981538,False
8,3,1.0,1.0,0.7424460895567881,0.5116041001611299,0.23084198939565825,6.178987787194383,0.4537150477310865,0.47811828669136425,-0.02440323896027774,-0.7514803237459924,False
