day,pair,dir,size,entry,stop
2016-03-25,EURUSD,1,1.0,0.0,0.0
2016-03-25,NZDCHF,-1,1.0,0.0,0.0
2016-03-25,NZDJPY,1,1.0,0.0,0.0
2016-03-25,USDCHF,-1,3.0,0.0,0.0
2016-03-28,EURUSD,1,1.0,0.0,0.0
2016-03-28,NZDCHF,-1,1.0,0.0,0.0
2016-03-28,NZDJPY,1,1.0,0.0,0.0
2016-03-28,USDCHF,-1,3.0,0.0,0.0
2016-03-29,EURUSD,1,1.0,0.0,0.0
2016-03-29,NZDCHF,-1,1.0,0.0,0.0
2016-03-29,NZDJPY,1,1.0,0.0,0.0
2016-03-29,NZDUSD,1,1.0,0.0,0.0
2016-03-29,USDCHF,-1,3.0,0.0,0.0
2016-03-30,EURUSD,1,1.0,0.0,0.0
2016-03-30,NZDJPY,1,3.0,0.0,0.0
2016-03-30,NZDUSD,1,1.0,0.0,0.0
2016-03-30,USDCHF,-1,3.0,0.0,0.0
2016-03-31,AUDCHF,-1,1.0,0.0,0.0
2016-03-31,EURUSD,1,1.0,0.0,0.0
2016-03-31,NZDJPY,1,1.0,0.0,0.0
2016-03-31,NZDUSD,1,1.0,0.0,0.0
2016-03-31,USDCHF,-1,3.0,0.0,0.0
2016-04-01,AUDCHF,-1,1.0,0.0,0.0
2016-04-01,EURUSD,1,1.0,0.0,0.0
2016-04-01,NZDJPY,1,1.0,0.0,0.0
2016-04-01,NZDUSD,1,1.0,0.0,0.0
2016-04-01,USDCHF,-1,1.0,0.0,0.0
2016-04-04,AUDCHF,-1,1.0,0.0,0.0
2016-04-04,NZDJPY,1,1.0,0.0,0.0
2016-04-04,NZDUSD,1,1.0,0.0,0.0
2016-04-05,AUDCHF,-1,1.0,0.0,0.0
2016-04-05,CHFJPY,-1,3.0,0.0,0.0
2016-04-05,NZDJPY,1,1.0,0.0,0.0
2016-04-05,NZDUSD,1,1.0,0.0,0.0
2016-04-06,AUDCHF,-1,3.0,0.0,0.0
2016-04-06,AUDJPY,-1,1.0,0.0,0.0
2016-04-06,CHFJPY,-1,3.0,0.0,0.0
2016-04-06,NZDJPY,1,1.0,0.0,0.0
2016-04-06,NZDUSD,1,1.0,0.0,0.0
2016-04-07,AUDCHF,-1,3.0,0.0,0.0
2016-04-07,AUDJPY,-1,1.0,0.0,0.0
2016-04-07,CHFJPY,-1,3.0,0.0,0.0
2016-04-07,NZDUSD,1,1.0,0.0,0.0
2016-04-08,AUDCHF,-1,3.0,0.0,0.0
2016-04-08,AUDJPY,-1,3.0,0.0,0.0
2016-04-08,CHFJPY,-1,3.0,0.0,0.0
2016-04-08,NZDUSD,1,1.0,0.0,0.0
2016-04-11,AUDCHF,-1,3.0,0.0,0.0
2016-04-11,AUDJPY,-1,3.0,0.0,0.0
2016-04-11,CHFJPY,-1,3.0,0.0,0.0
2016-04-11,NZDUSD,1,1.0,0.0,0.0
2016-04-12,AUDCHF,-1,1.0,0.0,0.0
2016-04-12,AUDJPY,-1,3.0,0.0,0.0
2016-04-12,CADJPY,1,3.0,0.0,0.0
2016-04-12,CHFJPY,-1,3.0,0.0,0.0
2016-04-12,EURCHF,-1,1.0,0.0,0.0
