N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
37,208.0,drifting,0.029003244846267782,0.02734684256220273,0.001656402284065054,0.3944187892344325,18.0,0.9604291040508703,-0.03186876991405324,0.04723748692828453,0.03189323442271336,-0.005013488120020004
37,208.0,range,0.13410886853122733,0.13446965265793984,-0.0003607841267125045,0.3253030521682661,20.0,0.9663828252849971,-0.0010254514546544022,-0.2563535617797625,0.040231659372272605,0.23882480151821986
38,214.0,trending,0.15009282760120712,0.13700948513535896,0.013083342465848163,0.28011407360463536,32.0,0.9803477923589113,0.04503768830516373,0.2178295393409673,-0.08624890681797258,-0.2512551759407249
38,214.0,drifting,0.027780129840714617,0.028779751686568576,-0.000999621845853959,0.3951654519940247,19.0,0.9611788431570263,-0.03313115188606357,0.04552223816413012,0.031736793656531745,0.0007303356561330404
38,214.0,range,0.1325567278470862,0.1308631820668419,0.0016935457802443044,0.3247204744013399,20.0,0.9670599391961621,-0.005304661249350178,-0.24993775450909178,0.04472289164651754,0.23026160398338522
39,220.0,trending,0.1454536062482821,0.13365561885729116,0.011797987390990944,0.2788145993363938,32.0,0.9809905768039389,0.05324659120170273,0.2065196032392424,-0.08806987219748809,-0.23397835835469524
39,220.0,drifting,0.03168147919897005,0.0291586380211743,0.0025228411777957482,0.3948638698240989,19.0,0.9616580310880829,-0.047759335409583784,0.04058550905739235,0.036016967486566256,0.0023641048423378042
39,220.0,range,0.1222672179686319,0.12887459703428428,-0.006607379065652383,0.32632153083950727,20.0,0.9670317420505532,0.0032080999114368893,-0.2330107726440969,0.04140682844462673,0.2114431708743671
40,227.0,trending,0.14500581764846096,0.1306743601842457,0.01433145746421527,0.2842968586435093,32.0,0.9805315401857189,0.06328283173962049,0.2035856589709455,-0.0780666887121546,-0.23508809117112325
40,227.0,drifting,0.030226250993340923,0.02877458396429667,0.0014516670290442533,0.38998880362653265,19.0,0.9612663724872172,-0.04282218342497029,0.04200349778490031,0.03247850123474315,0.003600821528749935
40,227.0,range,0.12434932743935229,0.1253329049090544,-0.0009835774697021238,0.32571433772995806,20.0,0.9677365242675017,-0.012243634420014025,-0.23411112839346968,0.037144497258062,0.21389804968586343
41,232.0,trending,0.14471091766670063,0.12815949236254587,0.016551425304154765,0.2843850911280171,31.0,0.9806248797074485,0.0730662724790778,0.19655788386260215,-0.08153728171024005,-0.2276822326148825
41,232.0,drifting,0.031762859033731654,0.029240893749183903,0.002521965284547751,0.38963384598544143,19.0,0.9615483689670515,-0.054473298416495536,0.037544154973927664,0.030351013109561748,0.004682969634941686
41,232.0,range,0.11997542991815349,0.122048338657097,-0.002072908738943502,0.3259810628865415,20.0,0.9679180314100949,-0.00871542307095433,-0.22269633364817684,0.04267123107655847,0.20581873187692437
42,237.0,trending,0.14650988654503247,0.1257224353625556,0.02078745118247688,0.28482545019323363,31.0,0.9806242581721362,0.07718130589601963,0.19645008054995233,-0.08441053195202582,-0.2279976277821321
42,237.0,drifting,0.0312273364280099,0.028985993644969833,0.002241342783040067,0.3892172896128932,19.0,0.9615158843832915,-0.0505061882215341,0.030021201849403035,0.026628459580481822,0.017753496060620634
42,237.0,range,0.1182877234303746,0.12045490374608563,-0.0021671803157110314,0.32595726019387317,20.0,0.9681462580265261,-0.016909316132641405,-0.21461885294003594,0.04944769198651615,0.1921750326623049
43,241.0,trending,0.14902376480922264,0.12325411526334627,0.025769649545876364,0.28603325372205596,32.0,0.9812835935500384,0.08876118918568551,0.19438737691732794,-0.09165429066775785,-0.22129220246611922
43,241.0,drifting,0.02978880127373894,0.028482338876498443,0.0013064623972404987,0.3863526139036063,19.0,0.9615739972992822,-0.04609154308141602,0.032774145319739906,0.021793554294288312,0.01849596239951153
43,241.0,range,0.12373182085927015,0.11570371867981635,0.008028102179453794,0.32761413237433773,20.0,0.9684234058011513,-0.03268100343194871,-0.2154848827925227,0.061514330534194486,0.18524706667841465
