Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
69,Entry short,2014-12-11,1.2513742342,1.24064,91264,113225.769,-435.33,-0.38,0,202.61,0.18,-719.16,-0.64,-2470.32,-0.25,1
70,Exit short,2014-12-12,Exit Short 2,1.24541,91264,113225.769,-435.33,-0.38,0,202.61,0.18,-719.16,-0.64,-2905.65,-0.29,1
70,Entry short,2014-12-11,1.2513742342,1.24064,91264,113225.769,-435.33,-0.38,0,202.61,0.18,-719.16,-0.64,-2905.65,-0.29,1
71,Exit short,2014-12-29,SL/TP 1,1.21625,86419,106564.1331,1457.02,1.37,0,1457.02,1.37,-184.07,-0.17,-1448.63,-0.14,7
71,Entry short,2014-12-17,1.2443452854,1.23311,86419,106564.1331,1457.02,1.37,0,1457.02,1.37,-184.07,-0.17,-1448.63,-0.14,7
72,Exit short,2015-02-03,Exit Short 2,1.1464,86419,106564.1331,7493.39,7.03,0,10658.06,10.00,-184.07,-0.17,6044.76,0.60,33
72,Entry short,2014-12-17,1.2443452854,1.23311,86419,106564.1331,7493.39,7.03,0,10658.06,10.00,-184.07,-0.17,6044.76,0.60,33
73,Exit short,2015-03-05,SL/TP 1,1.10185,89932,100682.4713,1590.9,1.58,0,1590.9,1.58,-445.16,-0.44,7635.66,0.76,5
73,Entry short,2015-02-26,1.1313316908,1.11954,89932,100682.4713,1590.9,1.58,0,1590.9,1.58,-445.16,-0.44,7635.66,0.76,5
74,Exit short,2015-03-20,Exit Short 2,1.08225,89932,100682.4713,3353.56,3.33,0,6592.92,6.55,-445.16,-0.44,10989.23,1.10,16
74,Entry short,2015-02-26,1.1313316908,1.11954,89932,100682.4713,3353.56,3.33,0,6592.92,6.55,-445.16,-0.44,10989.23,1.10,16
75,Exit long,2015-10-14,SL/TP 1,1.14433,95236,107315.7342,1665.68,1.55,0,1665.68,1.55,-543.8,-0.51,12654.9,1.27,6
75,Entry long,2015-10-06,1.1151858469,1.12684,95236,107315.7342,1665.68,1.55,0,1665.68,1.55,-543.8,-0.51,12654.9,1.27,6
76,Exit long,2015-10-22,Exit Long 2,1.11062,95236,107315.7342,-1544.73,-1.44,0,2160.9,2.01,-1817.1,-1.69,11110.18,1.11,12
76,Entry long,2015-10-06,1.1151858469,1.12684,95236,107315.7342,-1544.73,-1.44,0,2160.9,2.01,-1817.1,-1.69,11110.18,1.11,12
77,Exit long,2016-01-21,SL/TP 1,1.08136,106006,115742.6511,-1112,-0.96,0,607.41,0.52,-1112,-0.96,9998.17,1.00,4
77,Entry long,2016-01-15,1.0813684768,1.09185,106006,115742.6511,-1112,-0.96,0,607.41,0.52,-1112,-0.96,9998.17,1.00,4
78,Exit long,2016-01-21,BL Exit Long 2,1.08706,106006,115742.6511,-507.77,-0.44,0,607.41,0.52,-1492.56,-1.29,9490.4,0.95,4
78,Entry long,2016-01-15,1.0813684768,1.09185,106006,115742.6511,-507.77,-0.44,0,607.41,0.52,-1492.56,-1.29,9490.4,0.95,4
79,Exit long,2016-05-02,SL/TP 1,1.14849,124527,141375.5031,1642.51,1.16,0,1642.51,1.16,-49.81,-0.04,11132.92,1.11,2
79,Entry long,2016-04-28,1.1265074894,1.1353,124527,141375.5031,1642.51,1.16,0,1642.51,1.16,-49.81,-0.04,11132.92,1.11,2
80,Exit long,2016-05-10,Exit Long 2,1.13704,124527,141375.5031,216.68,0.15,0,3275.06,2.32,-49.81,-0.04,11349.59,1.13,8
80,Entry long,2016-04-28,1.1265074894,1.1353,124527,141375.5031,216.68,0.15,0,3275.06,2.32,-49.81,-0.04,11349.59,1.13,8
81,Exit short,2016-07-28,Exit Short 1,1.10753,90764,100823.3741,299.52,0.30,0,1419.55,1.41,-697.07,-0.69,11649.11,1.16,24
81,Entry short,2016-06-24,1.123097977,1.11083,90764,100823.3741,299.52,0.30,0,1419.55,1.41,-697.07,-0.69,11649.11,1.16,24
82,Exit short,2016-07-28,Exit Short 2,1.10753,90764,100823.3741,299.52,0.30,0,1419.55,1.41,-697.07,-0.69,11948.64,1.19,24
82,Entry short,2016-06-24,1.123097977,1.11083,90764,100823.3741,299.52,0.30,0,1419.55,1.41,-697.07,-0.69,11948.64,1.19,24
83,Exit long,2016-09-28,SL/TP 1,1.11828,162668,183029.1536,-1120.78,-0.61,0,115.49,0.06,-1120.78,-0.61,10827.85,1.08,2
83,Entry long,2016-09-26,1.1182879871,1.12517,162668,183029.1536,-1120.78,-0.61,0,115.49,0.06,-1120.78,-0.61,10827.85,1.08,2
84,Exit long,2016-10-04,BL Exit Long 2,1.12035,162668,183029.1536,-784.06,-0.43,0,115.49,0.06,-1851.16,-1.01,10043.79,1.00,6
84,Entry long,2016-09-26,1.1182879871,1.12517,162668,183029.1536,-784.06,-0.43,0,115.49,0.06,-1851.16,-1.01,10043.79,1.00,6
85,Exit short,2016-10-12,SL/TP 1,1.10449,162423,181046.4212,1651.84,0.91,0,1651.84,0.91,-950.17,-0.52,11695.63,1.17,4
85,Entry short,2016-10-06,1.1214351129,1.11466,162423,181046.4212,1651.84,0.91,0,1651.84,0.91,-950.17,-0.52,11695.63,1.17,4
